region_id,population
900715, 1695128
900716, 1741685
900717, 1709756
900718, 889771
900719, 2066212
900720, 2470556
900721, 1603165
900722, 943437
900723, 1459850
900724, 944294
40542, 423842
40543, 873128
40544, 795274
40545, 853250
40546, 337694
40547, 587674
40548, 888590
40549, 530726
40550, 863607
40551, 863390
40552, 575960
40553, 358069
40554, 1049363
40555, 346472
40556, 841855
40557, 534866
40558, 608023
900102, 434132
900103, 419118
791, 938546
792, 1965315
793, 1932288
794, 555023
795, 926298
796, 759909
797, 781966
798, 1597513
799, 150640
800, 46246
801, 459274
802, 272582
803, 161839
804, 1247014
805, 408341
806, 2336409
807, 397014
808, 955471
809, 445568
810, 280863
811, 1340851
812, 172737
813, 502236
814, 929606
65289, 339
65290, 12000
900411, 11334
900412, 938163
900413, 1962982
900414, 955350
900415, 548897
900416, 905583
900417, 756700
900418, 782308
900419, 1360444
900420, 45637
900421, 127580
900422, 457131
900423, 163306
900424, 1237795
900425, 403631
900426, 2585599
900427, 294376
900428, 401815
900429, 958946
900430, 450115
900431, 280888
900432, 1343693
900433, 171728
900434, 511249
900435, 938211
900436, 983048
815, 1466567
816, 5796141
817, 1089130
818, 4632798
819, 4305318
820, 3193533
821, 2341166
822, 2148112
823, 985850
824, 2113661
900959, 1464934
900960, 5796768
900961, 1087881
900962, 4667798
900963, 4210594
900964, 3186228
900965, 2341519
900966, 2147651
900967, 985125
900968, 2091526
825, 4395918
826, 4908477
827, 1329178
828, 782159
829, 502192
830, 41140
831, 915466
832, 32294
833, 14170416
834, 143921
835, 8519727
836, 1167129
837, 41304
838, 19252
839, 3989
840, 21
841, 35107
842, 10
843, 10
844, 5811
845, 17
846, 21707
847, 10
848, 289535
849, 43534
850, 11659
851, 79005
68742, 64491
68743, 1296
68744, 884
853, 59901
854, 340137
855, 79606
856, 124520
857, 162617
858, 339497
859, 500763
860, 220483
861, 161795
862, 321262
863, 524221
864, 379896
865, 508428
866, 591599
867, 139390
868, 74668
67154, 809412
870, 1031000
873, 793610
875, 324099
876, 878055
881, 425333
12904, 259172
12905, 439539
12907, 275191
12908, 399259
12909, 42942
12910, 547124
12911, 313706
12912, 2144892
12914, 447506
12915, 847411
12918, 934375
12919, 286963
12920, 635905
12921, 424092
12922, 771274
12923, 582405
12924, 245162
12925, 876054
12926, 456773
12927, 850928
12928, 499249
12930, 335148
12931, 515656
900172, 449526
900173, 697321
900174, 269621
900175, 832176
900176, 315109
900177, 106521
900178, 793898
900179, 787403
900180, 540386
900181, 624517
900182, 879737
900183, 1201395
900184, 878234
900185, 1071800
900186, 781693
900187, 797641
900188, 1397717
900189, 1171990
900190, 423771
900191, 636463
900192, 864663
900193, 42539
900194, 1018701
883, 709890
884, 1135789
885, 327773
886, 123084
887, 2286115
888, 905176
889, 1029488
890, 1027643
891, 160944
892, 1154586
893, 8720721
895, 461688
896, 2110572
91503, 179348
91504, 412259
897, 40094
898, 59896404
899, 28213524
900, 27151304
901, 39472604
902, 26108888
903, 124314072
904, 48116268
905, 34424812
906, 9733051
907, 77492816
908, 40180124
909, 98009040
911, 55615412
912, 68204600
913, 83039120
914, 49645784
915, 28198504
916, 45657044
917, 26934768
918, 7393436
919, 6601297
920, 39214344
921, 101018504
922, 31823894
923, 39299904
924, 80420640
926, 16968212
927, 26007470
928, 3470541
929, 49773036
930, 62641920
931, 1838
933, 359
934, 141531
935, 7928416
936, 461364
937, 3259440
938, 3217860
939, 1534885
941, 1082928
942, 671302
943, 860529
944, 1872821
945, 1219591
946, 639629
947, 2513131
948, 14062328
949, 114108
950, 1577289
951, 178336
952, 1489539
953, 1549060
954, 1405040
955, 2154208
956, 1598936
957, 562863
958, 707907
959, 1094046
960, 102328
961, 2717147
962, 1065486
963, 1784532
964, 5487773
965, 103180
966, 101550
901156, 7930232
901157, 3082308
901158, 10061854
901159, 3263243
901160, 1481104
901161, 1068968
901162, 664570
901163, 1843061
901164, 1237361
901165, 2533166
901166, 4080845
901167, 690850
901168, 1446803
901169, 1482949
901170, 1752860
901171, 1283927
901172, 2185661
901173, 1570295
901174, 706515
901175, 1126848
901176, 2705609
901177, 1026056
901178, 1746364
901179, 5617113
901180, 451891
901181, 906384
901182, 543276
901183, 102328
901184, 142452
901185, 116688
901186, 183849
901187, 102730
901188, 97261
967, 65078
968, 333632
969, 452249
970, 255512
971, 233241
972, 189945
973, 230066
974, 165602
975, 1054810
976, 160334
977, 114007
978, 423858
979, 110554
900002, 276760
900003, 783472
980, 15914
981, 978014
982, 542329
983, 392455
984, 513780
985, 432096
986, 462314
987, 1492981
988, 107421
989, 105482
990, 754093
991, 196435
992, 120375
993, 109193
994, 149993
995, 45262
996, 104598
997, 287031
998, 73401
1000, 98773
1001, 164421
1002, 147444
1003, 426074
1004, 161960
1005, 75579
1006, 162829
1007, 174270
1008, 346313
900026, 281544
1009, 777813
1010, 410176
1011, 403334
1012, 1858462
1013, 832899
1014, 575854
1015, 1069225
1016, 77210
1017, 899965
1018, 519007
1019, 698120
1020, 729255
1021, 504393
1022, 1001988
1023, 730197
1024, 244721
1025, 68241
1026, 161345
1027, 279810
1028, 472729
1029, 118651
1030, 711826
1031, 2074444
1032, 1565679
1033, 1184524
1034, 1816277
1035, 1366086
1036, 1237485
1037, 884289
1040, 2692382
1041, 343501
1043, 1467712
1044, 1642717
1045, 2728611
1048, 1978280
1050, 1337352
1051, 1614962
1053, 1062497
16838, 405690
16840, 1900490
16845, 1024301
40692, 2861567
900025, 5450126
1054, 1434506
1055, 388489
1056, 1446832
1058, 2360777
1059, 1803602
1060, 2907061
1061, 2993870
1062, 2941995
1063, 3142299
1064, 3157561
1065, 764098
1066, 8553457
1067, 3004779
1068, 11026867
1069, 13515202
1070, 10040941
1071, 28281910
1072, 7850570
1073, 3071970
1074, 9391261
1075, 13394677
1076, 6308998
900143, 5674065
900144, 3529128
900145, 6212139
900146, 3008013
900147, 1717903
900148, 4479438
900149, 2356058
900150, 2402447
900151, 3060707
900152, 1577978
900153, 2307201
900154, 1678479
900155, 1520478
900156, 2126189
900157, 9388370
900158, 3071970
900159, 4017391
900160, 7972880
900161, 5538392
900162, 10750496
900163, 200078
900164, 4166797
900165, 7214859
900166, 6300509
900167, 6247093
900168, 7853027
901011, 6351
901012, 58798
901013, 7497
1077, 748909
1078, 37479
1079, 114401
1081, 490968
1083, 509653
1084, 226117
1085, 287944
1087, 244335
1088, 247263
1090, 390265
1091, 316626
1092, 241565
40856, 390103
40857, 1288087
